id,favourites_count,followers_count,friends_count,listed_count,statuses_count,label,default_profile,default_profile_image,verified,arousal mean,arousal std,arousal min,arousal 25%,arousal 50%,arousal 75%,arousal max,compound mean,compound std,compound min,compound 25%,compound 50%,compound 75%,compound max,dominance mean,dominance std,dominance min,dominance 25%,dominance 50%,dominance 75%,dominance max,neg mean,neg std,neg min,neg 25%,neg 50%,neg 75%,neg max,neu mean,neu std,neu min,neu 25%,neu 50%,neu 75%,neu max,pos mean,pos std,pos min,pos 25%,pos 50%,pos 75%,pos max,valence mean,valence std,valence min,valence 25%,valence 50%,valence 75%,valence max,compound_mv,neg_mv,neu_mv,pos_mv,dominance_mv,interarrival_mean,interarrival_std_dev,favourites_count_mv,followers_count_mv,friends_count_mv,listed_count_mv,statuses_count_mv,label_mv,default_profile_mv,default_profile_image_mv,verified_mv,arousal mean_mv,arousal std_mv,arousal min_mv,arousal 25%_mv,arousal 50%_mv,arousal 75%_mv,arousal max_mv,compound mean_mv,compound std_mv,compound min_mv,compound 25%_mv,compound 50%_mv,compound 75%_mv,compound max_mv,dominance mean_mv,dominance std_mv,dominance min_mv,dominance 25%_mv,dominance 50%_mv,dominance 75%_mv,dominance max_mv,neg mean_mv,neg std_mv,neg min_mv,neg 25%_mv,neg 50%_mv,neg 75%_mv,neg max_mv,neu mean_mv,neu std_mv,neu min_mv,neu 25%_mv,neu 50%_mv,neu 75%_mv,neu max_mv,pos mean_mv,pos std_mv,pos min_mv,pos 25%_mv,pos 50%_mv,pos 75%_mv,pos max_mv,valence mean_mv,valence std_mv,valence min_mv,valence 25%_mv,valence 50%_mv,valence 75%_mv,valence max_mv,compound_mv_mv,neg_mv_mv,neu_mv_mv,pos_mv_mv,dominance_mv_mv,interarrival_mean_mv,interarrival_std_dev_mv
2880393984,29992,132,120,1,4047,1,True,False,False,-0.1767091469269827,0.1965308142735389,-0.8418451400329492,-0.2767706576159329,-0.17635914896425153,-0.08511449637323443,0.5914332784184513,0.16350523560209426,0.40330328847997293,-0.8442,0.0,0.0,0.5076,0.9729,0.24801979897752824,0.16637881823718878,-0.5520833333333333,0.17357990593126835,0.225195057119538,0.3491537405507288,0.7749428244711265,0.0305130890052356,0.08139810282534685,0.0,0.0,0.0,0.0,0.603,0.8663089005235602,0.16022370504143835,0.23800000000000002,0.755,0.902,1.0,1.0,0.10318848167539267,0.14741483205137534,0.0,0.0,0.0,0.1765,0.611,0.2856762982117612,0.1803922114227022,-0.4246196403872753,0.21041666666666647,0.2765623492982514,0.3631302484173151,0.8146611341632091,0.0,0.0,0.0,0.0,43.0,192944.85263157892,565753.8419185218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455567062,2404,358,193,14,3698,1,True,False,False,-0.2216019991128503,0.1531354672314743,-0.502471169686985,-0.3199365192203885,-0.2336496621521049,-0.1513912716228829,0.4431630971993408,0.2220453703703704,0.3871879541611867,-0.5859,0.0,0.11535,0.5719,0.9229999999999999,0.2359195581332252,0.18968643737218407,-0.2745120006224495,0.10144539589285297,0.225195057119538,0.378660695279617,0.8367412551440327,0.03236111111111111,0.06300800399138347,0.0,0.0,0.0,0.0,0.254,0.8394259259259262,0.14500900414864373,0.498,0.7444999999999999,0.836,1.0,1.0,0.12820370370370374,0.13820611447983167,0.0,0.0,0.0955,0.21325,0.48100000000000004,0.27673338308712914,0.1850707630825583,-0.2058877504347492,0.19101835940688333,0.2765623492982514,0.3866495840109211,0.983402489626556,0.0,0.0,0.0,0.0,10.0,15500.971962616824,25915.121519910663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3422980817,0,0,0,1,2211,1,True,True,False,-0.29266444764435384,0.07097192791101435,-0.5454251045373988,-0.3240384802555141,-0.3240384802555141,-0.2297560799352427,-0.12221447801422247,0.3342296482412062,0.4526833035450517,-0.7633,0.0,0.5411,0.6579999999999999,0.69,0.13799695956674427,0.11555686089263062,-0.10142545276360382,0.05732645500289246,0.1976306450743559,0.22986829286398724,0.28025898465445764,0.03789447236180905,0.09365412360532124,0.0,0.0,0.0,0.0,0.354,0.7781708542713562,0.0954389167111818,0.5720000000000001,0.732,0.732,0.805,1.0,0.1839346733668344,0.1159523184560019,0.0,0.0,0.262,0.268,0.322,0.13130618055257642,0.12380767462613905,-0.12552728366882882,0.012147667793516392,0.1784147448318334,0.24344858763746255,0.24344858763746255,0.0,0.0,0.0,0.0,0.0,154900.41919191918,321324.3999453094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301224100,0,205,51,87,13829,1,True,False,False,-0.31861477777254,0.16248342983743058,-0.3715951440316057,-0.3706754530477758,-0.3706754530477758,-0.3706754530477758,0.8451400329489287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1630161624835015,0.083403788023527,-0.4791666666666667,0.15972222222222232,0.15972222222222232,0.15972222222222232,0.6103117505995204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14863871634501805,0.10671052189276506,-0.623789764868603,0.13416320885200572,0.13416320885200572,0.13416320885200572,0.7095435684647304,0.0,0.0,0.0,0.0,14.0,1351.9095477386936,827.8750129364453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2363099551,0,49,10,9,2600,1,True,False,False,-0.2506734590709625,0.1331013133356516,-0.5276740144685301,-0.3335485459152226,-0.27354414686833683,-0.19953160974333328,0.20306785669052352,0.10689449999999992,0.44688524942148455,-0.8722,-0.1764,0.0,0.4450000000000001,0.9186,0.20571708443016715,0.2021844924537355,-0.5853492039625627,0.10723869363914706,0.21221255602095399,0.3422334286665768,0.6305028595504452,0.08102000000000002,0.10797496266641653,0.0,0.0,0.0,0.15025,0.474,0.7713700000000004,0.1667028563389296,0.312,0.65,0.777,0.87625,1.0,0.14759000000000005,0.16080739095242064,0.0,0.0,0.1125,0.252,0.688,0.19050420626685766,0.22486776637270214,-0.5951457589951547,0.058376223534849885,0.20785930565433464,0.3410986256000987,0.8229598893499309,0.0,0.0,0.0,0.0,0.0,33028.63819095477,32606.785345578173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16724972,1517,2805,2595,95,5355,1,False,False,False,-0.21697111036495972,0.1372854713555221,-0.5782537067545304,-0.3152627140741543,-0.24124529134345615,-0.16710101693354085,0.2559392247594641,0.232589393939394,0.3282924156777142,-0.7633,0.0,0.0,0.5102,0.9276,0.2924307911154252,0.1160278900748324,0.01388888888888862,0.225195057119538,0.2855820424419753,0.3649794423536302,0.6111111111111109,0.013297979797979798,0.047297064181215716,0.0,0.0,0.0,0.0,0.28300000000000003,0.8709191919191921,0.14061653055502954,0.49200000000000005,0.763,0.892,1.0,1.0,0.11577777777777785,0.1377948195526387,0.0,0.0,0.026000000000000002,0.215,0.508,0.29791256506137703,0.15166042682986464,-0.10895027885255848,0.20887218764379603,0.2835036906686105,0.38751308759883096,0.7573938377328511,0.0,0.0,0.0,0.0,9.0,96871.94923857867,67784.0965519039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881182314,853,63,47,1,808,1,True,False,False,-0.1955130628253208,0.19251467835281805,-0.5749195883430156,-0.3290228402887864,-0.2136564367586563,-0.11627564203466467,0.6013179571663922,0.13673153846153846,0.3612790345156502,-0.7717,0.0,0.0,0.4019,0.9206,0.2337344317398925,0.20977029680484507,-0.78125,0.1219907416722108,0.2420574035317542,0.35087587930612063,0.8333333333333333,0.0388923076923077,0.07916210883530987,0.0,0.0,0.0,0.0,0.33299999999999996,0.8550615384615385,0.14582487925065285,0.348,0.7567499999999999,0.873,1.0,1.0,0.10606153846153846,0.1423020999723106,0.0,0.0,0.0,0.18925,0.652,0.2372197084496252,0.2296403726116021,-0.7925311203319503,0.1390391237611468,0.2625534246029393,0.3807171908724885,0.8146611341632091,0.0,0.0,0.0,0.0,8.0,410570.38759689924,1477613.0411187154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82570028,35,1031,531,4,70925,1,False,False,False,-0.16287609024569394,0.21115274494509628,-0.5513689395314418,-0.2884631423329043,-0.17028098190528695,0.0313014827018121,0.38870815218360977,0.2447285000000001,0.3062363050167329,-0.6124,0.0,0.3058,0.4215,0.9118,0.2504188443699374,0.11459346897503955,-0.186505568814638,0.2175082747830534,0.2733498980632005,0.2847222222222221,0.7003582292667307,0.022595,0.0756797734905298,0.0,0.0,0.0,0.0,0.466,0.8254100000000001,0.17413479414713012,0.331,0.7225,0.804,1.0,1.0,0.15200000000000002,0.15170723590895618,0.0,0.0,0.16899999999999998,0.25675000000000003,0.61,0.3539814033785642,0.1501356685412544,-0.3138409083598701,0.2765623492982514,0.3388658367911479,0.4771784232365144,0.6752146103596002,0.0,0.0,0.0,0.0,28.0,138547.824120603,249588.6176443797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3244584983,7289,75,1058,7,7375,1,True,False,False,-0.1261955449420404,0.1915538103612955,-0.5189456342668863,-0.2395562129200741,-0.1708432142515992,-0.02829353509726662,0.5420098846787478,0.16090967741935486,0.3563928444557252,-0.7184,0.0,0.0,0.4939,0.8074,0.2389606457354593,0.1879563800029632,-0.21875000000000025,0.12031724564343872,0.2262460955670953,0.3573202189520821,0.8538369025450032,0.0336236559139785,0.09006301103146744,0.0,0.0,0.0,0.0,0.462,0.8484301075268819,0.15912412422310754,0.513,0.696,0.867,1.0,1.0,0.11793548387096775,0.14626567596787504,0.0,0.0,0.0,0.20600000000000002,0.48700000000000004,0.2972072942286182,0.2179740556491032,-0.2521548222793035,0.16107044371723722,0.2765623492982514,0.4477496168367541,0.8229598893499309,0.0,0.0,0.0,0.0,3.0,379.3369565217391,302.8865219120101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463193055,6773,937,1694,1,6238,1,True,False,False,-0.18716674745052406,0.17360555571962927,-0.6705107084019769,-0.2753447137481649,-0.1909622648218028,-0.1198502911054824,0.32376424540844706,0.24846865671641796,0.4652222641925444,-0.8481,0.0,0.3497,0.6838,0.9308,0.23206903562414455,0.1803874878001008,-0.5659722222222223,0.16666666666666652,0.225195057119538,0.3514573058946423,0.6701388888888891,0.054820895522388065,0.1070914759527966,0.0,0.0,0.0,0.08175,0.506,0.7484179104477607,0.21557662833508348,0.122,0.62175,0.7559999999999999,1.0,1.0,0.1967686567164179,0.2189050988864414,0.0,0.0,0.158,0.3305,0.878,0.2732167211298938,0.20471612132083947,-0.7353558114185741,0.22372904488360665,0.2765623492982514,0.37255747372197096,0.648400545374896,0.0,0.0,0.0,0.0,22.0,13782.624060150376,23398.81970598315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386582662,4656,558,260,2,124768,1,False,False,False,-0.22584416641341395,0.12524800311012538,-0.5021086509064983,-0.28212042890493416,-0.2311400738163596,-0.13197876624565266,-0.04081634262559475,0.19731349999999973,0.26532605439999146,-0.3885,0.0,0.1511,0.425025,0.7263,0.14360739324159233,0.15280117494223927,-0.19658069481951124,0.08833561363823472,0.13305078976034812,0.2550186329239106,0.4147701135580173,0.018805,0.0536961203599343,0.0,0.0,0.0,0.0,0.18100000000000002,0.8406299999999999,0.12177680836381102,0.669,0.74125,0.7909999999999999,1.0,1.0,0.14056499999999988,0.11122703376518232,0.0,0.0,0.16699999999999998,0.218,0.308,0.3757504487015625,0.18177650376526305,-0.02241119394683166,0.32418841419619304,0.4014887219120303,0.5084016348603233,0.5985838935921513,0.0,0.0,0.0,0.0,0.0,327388.86432160804,734044.4949050971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
